State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Rate_100000,Rate_Level,Area_Name,POP_ESTIMATE
IN,Scott,19,4.2,4.7,21,33,8.3,29,52,17,9,42,25,46,7381,42,87,44,3.9,27,10.1,194,11.4,0,10,85,40,14,1,44913,405.84285710000006,3,Scott,23873
IN,Shelby,18,4.0,4.3,21,37,8.3,30,54,16,9,32,36,96,6698,52,95,53,3.1,31,11.0,535,11.8,0,12,87,36,17,4,57193,313.6,2,Shelby,44729
IN,Spencer,17,3.8,4.3,18,35,8.8,28,46,18,8,39,30,25,4037,48,93,59,3.3,20,12.7,0,12.1,0,8,86,42,8,0,56862,328.35714289999993,2,Spencer,20277
IN,Starke,20,4.4,4.8,23,33,8.1,28,56,17,10,22,13,31,4557,35,93,46,4.3,25,8.7,97,12.3,0,12,83,43,10,3,49972,413.38,4,Starke,22995
IN,Steuben,16,3.8,4.3,19,30,8.1,27,61,18,10,32,43,75,3741,48,86,59,2.7,28,13.6,70,12.0,0,9,81,27,8,8,58295,360.2666667,3,Steuben,34594
IN,Sullivan,20,4.2,4.5,21,31,8.0,32,50,17,9,48,24,29,7678,42,82,50,4.7,36,10.1,128,11.5,0,15,88,38,20,2,47554,562.8428571000001,4,Sullivan,20669
IN,Switzerland,22,4.7,5.0,24,34,7.8,37,48,16,11,0,9,28,6018,36,95,47,3.9,26,4.7,0,11.3,0,15,82,51,22,2,47713,400.15,3,Switzerland,10751
IN,Tippecanoe,19,4.4,5.2,19,33,7.3,25,79,20,10,70,47,142,4011,54,85,73,3.2,31,10.2,243,10.9,0,18,75,15,8,7,52269,333.49285710000004,2,Tippecanoe,195732
IN,Tipton,17,3.8,4.5,19,35,8.5,18,52,17,8,33,53,53,4990,54,95,57,2.8,25,15.2,132,11.7,0,7,85,33,17,3,60896,303.78,2,Tipton,15148
IN,Union,18,4.1,4.6,20,25,0.0,31,70,16,9,14,0,0,6065,49,92,45,3.1,33,5.6,0,11.2,0,12,83,32,19,0,50300,351.0571429,2,Union,7054
IN,Vanderburgh,19,4.4,5.1,21,34,7.5,29,88,19,9,85,73,211,5560,55,81,67,3.2,39,14.9,409,12.5,0,14,86,19,11,4,50500,352.7666667,2,Vanderburgh,181451
IN,Vermillion,17,4.0,4.5,19,41,7.8,26,52,17,8,39,32,58,7235,43,94,56,5.5,37,10.3,0,11.4,0,9,84,31,17,5,49287,493.9142857,4,Vermillion,15498
IN,Vigo,20,4.5,5.1,22,35,6.5,29,85,18,9,91,53,157,7540,48,89,62,4.4,42,14.3,233,11.3,0,16,82,18,12,14,48335,480.01111110000005,4,Vigo,107038
IN,Wabash,19,4.2,4.5,20,35,8.1,26,69,16,9,45,42,240,4504,50,87,53,3.5,31,18.4,51,12.3,0,10,86,23,13,5,51487,353.05,3,Wabash,30996
IN,Warren,16,3.9,4.4,19,34,8.7,28,34,18,7,0,12,0,4713,40,96,61,3.2,34,11.0,0,10.9,0,7,82,37,13,2,60596,404.7666667,3,Warren,8265
IN,Warrick,16,3.8,4.2,18,35,8.4,29,86,18,7,160,42,51,5190,57,91,74,2.9,22,10.7,223,12.6,0,11,88,28,14,5,75534,337.3666667,2,Warrick,62998
IN,Wayne,20,4.5,5.0,21,38,7.4,31,72,15,11,65,61,475,5439,47,82,58,3.6,45,13.7,0,11.5,0,14,82,20,17,7,45130,461.625,4,Wayne,65884
IN,Wells,18,3.9,4.4,19,34,8.4,28,44,16,8,64,32,50,5465,47,97,61,2.8,24,17.2,18,12.4,0,9,88,31,11,4,60010,308.6,2,Wells,28296
IN,White,17,3.7,4.2,18,29,8.6,34,46,17,11,33,29,41,2872,50,86,58,3.1,27,11.6,62,11.7,0,8,80,36,14,4,58380,412.0571429,4,White,24102
IN,Whitley,16,3.8,4.4,19,37,8.6,26,58,17,9,56,41,82,3663,49,91,62,2.9,27,13.6,0,11.9,0,7,88,35,15,2,67758,327.56,2,Whitley,33964
