State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Household_Income_(AIAN),Household_Income_(Asian),Household_Income_(Black),Household_Income_(Hispanic),Household_Income_(White),Population,Population_Black,Population_AIAN,Population_Asian,Population_NHPI,Population_Hispanic,Population_NHW,%_Insufficient_Sleep,Average_Traffic_Volume_per_Meter_of_Major_Roadways,%_Homeowners,%_Severe_Housing_Cost_Burden,%_Children_in_Poverty,Teen_Birth_Rate
Iowa,Appanoose,16,3.5,3.8,17,37,7.8,41,69,18,6,89,24,113,4379,36,91,71,3.3,27,9.7,219,9.2,0,13,82,22,15,5,44298,,57031,28036,18857,42323,12437,88,39,84,8,269,11801,29,615,73,,,
Iowa,Audubon,13,3.2,3.5,16,30,8.4,29,65,19,7,72,36,0,1846,35,97,67,2.4,28,19.7,70,8.7,0,6,82,22,9,3,51210,,,,,,5506,20,14,26,1,88,5308,27,200,78,,,
Iowa,Benton,12,3,3.5,15,36,8.7,25,50,22,5,16,23,19,4164,32,92,70,2.7,25,14.4,0,9.9,1,8,83,40,12,3,62799,26157,,,61433,65733,25642,153,77,95,14,385,24697,28,217,82,,,
Iowa,Black Hawk,14,3.4,3.4,18,31,7.1,24,83,24,5,95,71,165,3413,57,89,71,2.8,34,12.1,511,9.4,0,15,82,9,11,11,52320,26458,77969,28722,36164,55721,132408,12548,512,3301,501,5893,106962,27,1436,66,,,
Iowa,Boone,14,3.2,3.7,16,36,8.5,25,86,21,4,49,46,72,4128,59,94,68,2.1,30,14,277,9.1,0,12,83,28,9,4,63099,,,,42386,61406,26346,304,123,139,7,717,24821,29,190,77,,,
Iowa,Bremer,12,2.9,3.4,14,33,8.9,22,82,22,4,52,60,136,3487,48,94,79,2,19,18.1,378,9.3,0,9,80,25,8,2,74646,61731,98229,21563,88750,68167,24947,290,37,271,5,417,23696,27,616,82,,,
Iowa,Buchanan,12,2.9,3.5,16,33,8.5,31,75,21,5,28,38,104,3472,50,94,72,2.6,25,10.8,48,9.7,0,10,80,35,9,5,59724,41000,,,110179,61398,21199,105,55,129,3,352,20355,28,289,78,,,
Iowa,Buena Vista,16,3.2,3.3,15,34,8.7,24,74,19,11,45,60,40,2518,54,76,50,2.1,32,22.4,311,8.7,0,15,73,13,9,4,52683,,65800,36265,47564,58621,19874,602,123,1924,363,5164,11653,29,512,67,,,
Iowa,Butler,12,2.8,3.4,15,33,7.6,28,64,21,5,14,28,62,4170,45,99,70,2.7,20,20.5,10,9.1,1,8,81,35,11,13,57971,,,,40221,56171,14539,38,27,137,3,202,14029,25,199,79,,,
Iowa,Calhoun,15,3.2,3.6,17,36,8.4,31,74,20,6,72,62,21,3731,42,93,67,2.5,27,24.6,46,8.8,0,11,84,29,11,1,54865,,78750,,40962,50713,9699,226,41,27,0,189,9127,27,148,78,,,
Iowa,Carroll,12,2.9,3.3,15,34,8.7,26,76,21,4,94,60,89,4065,60,95,75,1.9,25,19.7,63,8.9,0,9,83,12,10,1,60531,,,,,,20154,230,65,110,4,505,19074,29,417,77,,,
Iowa,Cass,15,3.4,3.7,17,34,7.6,22,77,18,7,53,93,363,2374,33,88,60,2.7,31,19.8,238,8.7,0,10,79,18,10,8,50356,,31548,,50139,48657,12930,55,58,50,60,340,12302,26,634,69,,,
Iowa,Cedar,11,2.8,3.2,14,35,8.6,28,72,22,4,27,54,48,3405,44,87,72,2.4,18,12.9,95,10.4,0,8,82,42,5,5,67597,,,,43529,65847,18627,113,39,129,11,389,17749,27,417,81,,,
Iowa,Cerro Gordo,14,3.2,3.7,16,30,8.2,21,92,22,5,153,80,274,4264,58,92,70,2.6,35,19.3,133,8.6,0,10,82,12,11,4,51939,,84313,31103,39511,53470,42647,765,151,464,63,2103,38539,26,1110,69,,,
